Sim 2

Light Normalized Radiosity: 91.86454%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 6.93569%
Light Transmittance: 1.19977%
Stokes Shift Absorptance (converted to heat): 0.58305%
Quantum Yield Absorptance (converted to heat): 0.89127%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 4.45568%
Fluorescent Absorptance (converted to fluorescent emission): 2.98163%
Reflectance by Fluorescent Emission: 2.89266%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5.46199%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
471.0	1.0713	0.0307	0.0009	0.0	0.0	0.0	0.1028	0.0	0.0307	1.498875	0.0	3e-05	0.0	1.893208	0.593619	500.0	0.0	
473.0	1.0835	0.0329	0.0012	0.0	0.0	0.0	0.1175	0.0	0.0329	1.498746	0.0	2.7e-05	0.0	1.930919	0.59278858	500.0	0.0	
475.0	1.1086	0.0286	0.0012	0.0	0.0	0.0	0.1379	0.0	0.0286	1.498618	0.0	2.5e-05	0.0	1.965572	0.59117137	500.0	0.0	
477.0	1.1267	0.0286	0.0017	0.0	0.0	0.0	0.1567	0.0	0.0286	1.49849	0.0	2.3e-05	0.0	1.995298	0.58845931	500.0	0.0	
479.0	1.1428	0.027	0.0022	0.0	0.0	0.0	0.1714	0.0	0.027	1.498362	0.0	2.1e-05	0.0	2.016437	0.58562396	500.0	0.0	
481.0	1.1596	0.0234	0.0027	0.0	0.0	0.0	0.1849	0.0	0.0234	1.498234	0.0	1.8e-05	0.0	2.028407	0.58217351	500.0	0.0	
483.0	1.1814	0.023	0.0029	0.0	0.0	0.0	0.2064	0.0	0.023	1.49812	0.0	1.6e-05	0.0	2.029731	0.57904503	500.0	0.0	
485.0	1.2369	0.0219	0.0034	0.0	0.0	0.0	0.2612	0.0	0.0219	1.49801	0.0	1.5e-05	0.0	2.020829	0.57638652	500.0	0.0	
487.0	1.2735	0.0185	0.0037	0.0	0.0	0.0	0.2944	0.0	0.0185	1.4979	0.0	1.3e-05	0.0	2.002844	0.57505075	500.0	0.0	
489.0	1.269	0.0153	0.0035	0.0	0.0	0.0	0.2866	0.0	0.0153	1.49779	0.0	1.1e-05	0.0	1.979997	0.57495259	500.0	0.0	
491.0	1.2772	0.0155	0.0042	0.0	0.0	0.0	0.295	0.0	0.0155	1.49768	0.0	1e-05	0.0	1.953193	0.57681573	500.0	0.0	
493.0	1.2765	0.0149	0.0064	0.0	0.0	0.0	0.2953	0.0	0.0149	1.49757	0.0	8e-06	0.0	1.927555	0.58037463	500.0	0.0	
495.0	1.2714	0.0132	0.0071	0.0	0.0	0.0	0.2894	0.0	0.0132	1.497461	0.0	7e-06	0.0	1.904674	0.58529392	500.0	0.0	
497.0	1.2846	0.0121	0.008	0.0	0.0	0.0	0.3012	0.0	0.0121	1.497351	0.0	6e-06	0.0	1.885579	0.59176842	500.0	0.0	
499.0	1.302	0.0108	0.0082	0.0	0.0	0.0	0.3179	0.0	0.0108	1.497241	0.0	5e-06	0.0	1.871946	0.59894133	500.0	0.0	
501.0	1.3148	0.0087	0.0104	0.0	0.0	0.0	0.3303	0.0	0.0087	1.497131	0.0	5e-06	0.0	1.862822	0.60697503	500.0	0.0	
503.0	1.3281	0.0087	0.0106	0.0	0.0	0.0	0.3422	0.0	0.0087	1.497021	0.0	4e-06	0.0	1.859349	0.61514477	500.0	0.0	
505.0	1.3227	0.0058	0.0105	0.0	0.0	0.0	0.3354	0.0	0.0058	1.496912	0.0	4e-06	0.0	1.860102	0.62324642	500.0	0.0	
507.0	1.3052	0.0058	0.0122	0.0	0.0	0.0	0.3188	0.0	0.0058	1.496802	0.0	3e-06	0.0	1.863925	0.63170378	500.0	0.0	
509.0	1.2986	0.0057	0.0104	0.0	0.0	0.0	0.3101	0.0	0.0057	1.496692	0.0	3e-06	0.0	1.871815	0.63945271	500.0	0.0	
511.0	1.2891	0.0057	0.0127	0.0	0.0	0.0	0.3031	0.0	0.0057	1.496582	0.0	2e-06	0.0	1.882114	0.6469722	500.0	0.0	
513.0	1.2862	0.0042	0.0126	0.0	0.0	0.0	0.2988	0.0	0.0042	1.496474	0.0	2e-06	0.0	1.895552	0.65384145	500.0	0.0	
515.0	1.2699	0.0039	0.0132	0.0	0.0	0.0	0.2825	0.0	0.0039	1.496372	0.0	2e-06	0.0	1.910606	0.66007766	500.0	0.0	
517.0	1.2673	0.0047	0.0137	0.0	0.0	0.0	0.2808	0.0	0.0047	1.496277	0.0	2e-06	0.0	1.926219	0.66629289	500.0	0.0	
519.0	1.2782	0.0034	0.0125	0.0	0.0	0.0	0.2897	0.0	0.0034	1.496186	0.0	2e-06	0.0	1.944096	0.67150921	500.0	0.0	
521.0	1.2427	0.0021	0.0132	0.0	0.0	0.0	0.2543	0.0	0.0021	1.496094	0.0	1e-06	0.0	1.962113	0.67643679	500.0	0.0	
523.0	1.2203	0.0032	0.0118	0.0	0.0	0.0	0.2321	0.0	0.0032	1.496003	0.0	1e-06	0.0	1.981497	0.6807552	500.0	0.0	
