Sim 1

Light Normalized Radiosity: 91.40887%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 8.17494%
Light Transmittance: 0.41619%
Stokes Shift Absorptance (converted to heat): 2.68229%
Quantum Yield Absorptance (converted to heat): 5.49253%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 21.30917%
Fluorescent Absorptance (converted to fluorescent emission): 13.36323%
Reflectance by Fluorescent Emission: 10.75672%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 0.00012%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
505.0	0.5552	0.1139	0.0	0.0347	0.0812	0.4448	0.0	0.3147	0.0	1.496912	0.0	0.0	0.0	6.633747	0.82326757	500.0	0.002857	0.01429	
510.0	0.5497	0.1084	0.0	0.0339	0.0766	0.4504	0.0	0.3264	0.0	1.496637	0.0	0.0	0.0	6.50682	0.82173789	500.0	0.002939	0.013494	
515.0	0.5526	0.0996	0.0	0.0304	0.0712	0.4474	0.0	0.3327	0.0	1.496369	0.0	0.0	0.0	6.385433	0.82031363	500.0	0.003081	0.012687	
520.0	0.562	0.0992	0.0	0.028	0.0728	0.438	0.0	0.3261	0.0	1.49614	0.0	0.0	0.0	6.268997	0.81900979	500.0	0.003177	0.01191	
525.0	0.568	0.0933	0.0	0.0257	0.0691	0.432	0.0	0.3275	0.0	1.495918	0.0	0.0	0.0	6.158837	0.81780145	500.0	0.003245	0.011129	
530.0	0.5805	0.0876	0.0	0.023	0.0659	0.4195	0.0	0.3216	0.0	1.495726	0.0	0.0	0.0	6.051425	0.81670472	500.0	0.003266	0.010331	
535.0	0.6815	0.165	0.0	0.041	0.1247	0.4708	0.0933	0.3176	0.0	1.495544	0.0	0.0	0.0	5.946543	0.81569719	500.0	0.003279	0.009497	
540.0	0.7685	0.2275	0.0	0.0587	0.1691	0.5206	0.1792	0.3257	0.0	1.495361	0.0	0.0	0.0	5.844687	0.81475421	500.0	0.003227	0.00866	
545.0	0.8825	0.2944	0.0	0.0735	0.2195	0.5578	0.28	0.3162	0.0	1.495178	0.0	0.0	0.0	5.745395	0.81385626	500.0	0.003206	0.007805	
550.0	0.9815	0.3439	0.0002	0.0872	0.2528	0.5881	0.3721	0.3165	0.0	1.494995	0.0	0.0	0.0	5.646577	0.81299951	500.0	0.003106	0.006927	
555.0	1.0694	0.3608	0.0	0.0942	0.2611	0.5919	0.4538	0.3153	0.0	1.494812	0.0	0.0	0.0	5.54799	0.81213705	500.0	0.003104	0.006118	
560.0	1.1255	0.3767	0.0002	0.0941	0.2743	0.5858	0.4869	0.2994	0.0	1.494629	0.0	0.0	0.0	5.45031	0.81122654	500.0	0.002999	0.005421	
565.0	1.1324	0.3701	0.0	0.0937	0.2662	0.5831	0.5031	0.3069	0.0	1.494446	0.0	0.0	0.0	5.354083	0.81023215	500.0	0.002945	0.004845	
570.0	1.1675	0.3537	0.0	0.0883	0.2553	0.5614	0.5194	0.3	0.0	1.494272	0.0	0.0	0.0	5.258021	0.80914411	500.0	0.002784	0.004277	
575.0	1.1923	0.3247	0.0002	0.0792	0.2343	0.5222	0.5247	0.2841	0.0	1.494135	0.0	0.0	0.0	5.161009	0.80804364	500.0	0.002422	0.003676	
580.0	1.2114	0.2947	0.0001	0.0715	0.2121	0.4779	0.5179	0.2646	0.0	1.493998	0.0	0.0	0.0	5.064235	0.80687732	500.0	0.00204	0.003037	
585.0	1.2487	0.2537	0.0	0.0564	0.186	0.4225	0.5253	0.2371	0.0	1.493861	0.0	0.0	0.0	4.968619	0.80555314	500.0	0.001453	0.002348	
590.0	1.2671	0.2249	0.0001	0.0474	0.1659	0.3847	0.523	0.2214	0.0	1.493723	0.0	0.0	0.0	4.874392	0.80394193	500.0	0.000968	0.001888	
595.0	1.2853	0.202	0.0002	0.0368	0.1537	0.3441	0.507	0.1943	0.0	1.493586	0.0	0.0	0.0	4.781324	0.80214645	500.0	0.000624	0.00144	
600.0	1.5439	0.0622	0.0006	0.0151	0.0452	0.1419	0.6484	0.0996	0.0	1.493449	0.0	0.0	0.0	4.689127	0.80037036	500.0	0.000262	8.7e-05	
605.0	1.5599	0.0238	0.0025	0.0085	0.0157	0.0818	0.6286	0.0686	0.0	1.493312	0.0	0.0	0.0	4.597436	0.79837545	500.0	0.000147	0.0	
610.0	1.4733	0.0186	0.0017	0.0066	0.012	0.0739	0.538	0.0647	0.0	1.493174	0.0	0.0	0.0	4.507931	0.79599837	500.0	0.000124	0.0	
615.0	1.3786	0.0178	0.0014	0.0046	0.0124	0.0725	0.4412	0.0636	0.0	1.493059	0.0	0.0	0.0	4.421202	0.79344884	500.0	0.00012	0.0	
620.0	1.3245	0.0136	0.0011	0.0042	0.009	0.0688	0.3866	0.0637	0.0	1.492967	0.0	0.0	0.0	4.33373	0.79096113	500.0	0.000118	0.0	
625.0	1.2713	0.011	0.0013	0.0028	0.0077	0.0662	0.3314	0.0628	0.0	1.492847	0.0	0.0	0.0	4.249593	0.78812625	500.0	9.6e-05	0.0	
630.0	1.2275	0.0099	0.0013	0.0026	0.0068	0.0573	0.2795	0.0545	0.0	1.492723	0.0	0.0	0.0	4.170764	0.78489295	500.0	9.9e-05	0.0	
635.0	1.1752	0.0085	0.0011	0.0017	0.0061	0.0598	0.2315	0.0586	0.0	1.492612	0.0	0.0	0.0	4.091449	0.78191112	500.0	9.7e-05	0.0	
640.0	1.1618	0.0066	0.0013	0.0009	0.0052	0.048	0.207	0.0471	0.0	1.492507	0.0	0.0	0.0	4.013944	0.77862989	500.0	7.6e-05	0.0	
645.0	1.1156	0.0062	0.0014	0.0004	0.0049	0.0573	0.1698	0.0579	0.0	1.492409	0.0	0.0	0.0	3.942195	0.77501438	500.0	7.6e-05	0.0	
650.0	1.1113	0.0047	0.0009	0.0003	0.0037	0.0479	0.1571	0.0492	0.0	1.492318	0.0	0.0	0.0	3.869978	0.77169687	500.0	7.2e-05	0.0	
655.0	1.1045	0.0041	0.0016	-0.0	0.0035	0.0439	0.1467	0.0456	0.0	1.492226	0.0	0.0	0.0	3.800705	0.76803032	500.0	5.6e-05	0.0	
660.0	1.076	0.0034	0.0014	0.0	0.0028	0.0438	0.1192	0.0465	0.0	1.492135	0.0	0.0	0.0	3.736143	0.76432897	500.0	5.2e-05	0.0	
665.0	1.0664	0.0033	0.0019	0.0001	0.0024	0.0419	0.1066	0.0451	0.0	1.492043	0.0	0.0	0.0	3.670381	0.76083882	500.0	4.7e-05	0.0	
670.0	1.0627	0.0037	0.002	-0.0005	0.003	0.0377	0.0998	0.0399	0.0	1.491952	0.0	0.0	0.0	3.60983	0.75704027	500.0	3.7e-05	0.0	
675.0	1.059	0.0025	0.0024	-0.0006	0.0023	0.036	0.0947	0.039	0.0	1.491861	0.0	0.0	0.0	3.549378	0.75367683	500.0	3.1e-05	0.0	
680.0	1.0586	0.0023	0.0021	-0.0005	0.0021	0.0315	0.0904	0.0342	0.0	1.491769	0.0	0.0	0.0	3.492271	0.74990165	500.0	2.6e-05	0.0	
685.0	1.0638	0.0019	0.0045	-0.0002	0.0019	0.0269	0.0913	0.0293	0.0	1.491678	0.0	0.0	0.0	3.437733	0.74644946	500.0	2e-05	0.0	
690.0	1.0717	0.001	0.0074	-0.0003	0.0008	0.0185	0.0926	0.021	0.0	1.491612	0.0	0.0	0.0	3.382536	0.74304147	500.0	1.2e-05	0.0	
695.0	1.0722	0.001	0.0082	-0.0003	0.0009	0.0107	0.0863	0.0116	0.0	1.491552	0.0	0.0	0.0	3.330863	0.73988699	500.0	6e-06	0.0	
700.0	1.0697	0.0006	0.011	-0.0002	0.0005	0.0054	0.0801	0.0059	0.0	1.491481	0.0	0.0	0.0	3.278769	0.73684303	500.0	3e-06	0.0	
705.0	1.0459	0.0002	0.0112	-0.0001	0.0002	0.0022	0.0547	0.0024	0.0	1.491404	0.0	0.0	0.0	3.230727	0.73377128	500.0	1e-06	0.0	
710.0	0.993	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	1.491334	0.0	0.0	0.0	3.181457	0.7311439	500.0	0.0	0.0	
715.0	0.9919	0.0	0.0081	0.0	0.0	0.0	0.0	0.0	0.0	1.491275	0.0	0.0	0.0	3.136019	0.72821359	500.0	0.0	0.0	
720.0	0.9929	0.0	0.0071	0.0	0.0	0.0	0.0	0.0	0.0	1.491219	0.0	0.0	0.0	3.089115	0.72589942	500.0	0.0	0.0	
725.0	0.9924	0.0	0.0076	0.0	0.0	0.0	0.0	0.0	0.0	1.491173	0.0	0.0	0.0	3.044786	0.72347657	500.0	0.0	0.0	
