Sim 3

Light Normalized Radiosity: 88.45582%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 11.21764%
Light Transmittance: 0.32653%
Stokes Shift Absorptance (converted to heat): 4.08935%
Quantum Yield Absorptance (converted to heat): 7.12826%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 34.88426%
Fluorescent Absorptance (converted to fluorescent emission): 24.403%
Reflectance by Fluorescent Emission: 18.8249%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 4e-05%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
815.0	0.9911	0.0	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	1.49025	0.0	0.0	0.0	2.656889	0.71789583	500.0	0.0	0.0	
820.0	0.9922	0.0	0.0078	0.0	0.0	0.0	0.0	0.0	0.0	1.490204	0.0	0.0	0.0	2.625319	0.71793631	500.0	0.0	0.0	
825.0	0.9905	0.0	0.0095	0.0	0.0	0.0	0.0	0.0	0.0	1.490158	0.0	0.0	0.0	2.596605	0.71673798	500.0	0.0	0.0	
830.0	0.9915	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	1.490112	0.0	0.0	0.0	2.561704	0.71583569	500.0	0.0	0.0	
835.0	0.9904	0.0	0.0096	0.0	0.0	0.0	0.0	0.0	0.0	1.490067	0.0	0.0	0.0	2.520349	0.71671279	500.0	0.0	0.0	
840.0	0.9911	0.0	0.0089	0.0	0.0	0.0	0.0	0.0	0.0	1.490028	0.0	0.0	0.0	2.482045	0.71818296	500.0	0.0	0.0	
845.0	0.9913	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	1.490014	0.0	0.0	0.0	2.450696	0.71841318	500.0	0.0	0.0	
850.0	0.9898	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	1.489999	0.0	0.0	0.0	2.423378	0.71745877	500.0	0.0	0.0	
855.0	0.9891	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	1.489967	0.0	0.0	0.0	2.39173	0.71609614	500.0	0.0	0.0	
860.0	0.9914	0.0	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	1.489936	0.0	0.0	0.0	2.354837	0.71576038	500.0	0.0	0.0	
865.0	0.99	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	1.489892	0.0	0.0	0.0	2.315965	0.71735006	500.0	0.0	0.0	
870.0	0.9899	0.0	0.0101	0.0	0.0	0.0	0.0	0.0	0.0	1.489846	0.0	0.0	0.0	2.28364	0.71799303	500.0	0.0	0.0	
875.0	0.9888	0.0	0.0112	0.0	0.0	0.0	0.0	0.0	0.0	1.489822	0.0	0.0	0.0	2.257336	0.71740344	500.0	0.0	0.0	
880.0	0.9921	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	1.489807	0.0	0.0	0.0	2.232794	0.71529042	500.0	0.0	0.0	
885.0	0.9894	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	1.489785	0.0	0.0	0.0	2.20106	0.7139078	500.0	0.0	0.0	
890.0	0.9891	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	1.489753	0.0	0.0	0.0	2.164252	0.71391244	500.0	0.0	0.0	
895.0	0.9874	0.0	0.0126	0.0	0.0	0.0	0.0	0.0	0.0	1.489727	0.0	0.0	0.0	2.131689	0.71425312	500.0	0.0	0.0	
900.0	0.9909	0.0	0.0091	0.0	0.0	0.0	0.0	0.0	0.0	1.489713	0.0	0.0	0.0	2.102121	0.714613	500.0	0.0	0.0	
905.0	0.9889	0.0	0.0111	0.0	0.0	0.0	0.0	0.0	0.0	1.489697	0.0	0.0	0.0	2.077742	0.71377009	500.0	0.0	0.0	
910.0	0.9907	0.0	0.0093	0.0	0.0	0.0	0.0	0.0	0.0	1.489665	0.0	0.0	0.0	2.056435	0.71096794	500.0	0.0	0.0	
915.0	0.9886	0.0	0.0114	0.0	0.0	0.0	0.0	0.0	0.0	1.489634	0.0	0.0	0.0	2.027653	0.70915406	500.0	0.0	0.0	
920.0	0.9873	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	1.489589	0.0	0.0	0.0	1.994566	0.7083755	500.0	0.0	0.0	
925.0	0.9882	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	1.489543	0.0	0.0	0.0	1.964103	0.70835441	500.0	0.0	0.0	
930.0	0.9882	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	1.489521	0.0	0.0	0.0	1.936769	0.70834698	500.0	0.0	0.0	
935.0	0.9889	0.0	0.0111	0.0	0.0	0.0	0.0	0.0	0.0	1.489506	0.0	0.0	0.0	1.914792	0.70711626	500.0	0.0	0.0	
940.0	0.9884	0.0	0.0116	0.0	0.0	0.0	0.0	0.0	0.0	1.489483	0.0	0.0	0.0	1.895493	0.70469969	500.0	0.0	0.0	
945.0	0.9877	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	1.489451	0.0	0.0	0.0	1.873002	0.70180799	500.0	0.0	0.0	
950.0	0.987	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	1.489426	0.0	0.0	0.0	1.846437	0.69921549	500.0	0.0	0.0	
955.0	0.9883	0.0	0.0117	0.0	0.0	0.0	0.0	0.0	0.0	1.489412	0.0	0.0	0.0	1.816515	0.69844357	500.0	0.0	0.0	
960.0	0.9877	0.0	0.0123	0.0	0.0	0.0	0.0	0.0	0.0	1.4894	0.0	0.0	0.0	1.790931	0.69771612	500.0	0.0	0.0	
965.0	0.9888	0.0	0.0112	0.0	0.0	0.0	0.0	0.0	0.0	1.4894	0.0	0.0	0.0	1.770694	0.69603169	500.0	0.0	0.0	
970.0	0.9868	0.0	0.0132	0.0	0.0	0.0	0.0	0.0	0.0	1.4894	0.0	0.0	0.0	1.750469	0.69498889	500.0	0.0	0.0	
975.0	0.9873	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	1.489369	0.0	0.0	0.0	1.734962	0.69175088	500.0	0.0	0.0	
980.0	0.9898	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	1.489337	0.0	0.0	0.0	1.714769	0.68858922	500.0	0.0	0.0	
985.0	0.9885	0.0	0.0115	0.0	0.0	0.0	0.0	0.0	0.0	1.48932	0.0	0.0	0.0	1.691278	0.6854021	500.0	0.0	0.0	
990.0	0.9881	0.0	0.0119	0.0	0.0	0.0	0.0	0.0	0.0	1.489305	0.0	0.0	0.0	1.665189	0.6837563	500.0	0.0	0.0	
995.0	0.9873	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	1.489281	0.0	0.0	0.0	1.643317	0.68203355	500.0	0.0	0.0	

Input file:
mc
output:multiple_fluor_pigments_example
particle1:bsr_red.txt
particle2:cals_red.txt
particle3:y2o3.txt
matrix1:acrylic.txt
mesh:1
light:am15.txt
emit1:bsr_emis.txt
excit_start_end1:312,900
emit2:cals_emis.txt
excit_start_end2:312,900
qy1:bsr_qy.txt
qy2:cals_qy.txt
photons:10000
start:310
end:1000
interval:5
number_of_sims_uncertainty:30

sim:3
upper:1
lower:1
layer1
matrix1
t:500
particle1
fluor:1
d:5
vf:20
std:0.0
particle2
fluor:1
d:10
vf:10
std:0.0
particle3
fluor:0
d:0.4
vf:50
std:0.0
